label,label_folder,contract_id,sol_path,meta_path,out_csv,num_blocks,num_vuln_lines_in_metadata
Integer flow,Overflow-Underflow,50,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/buggy_50.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Overflow-Underflow/BugLog_50.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Overflow-Underflow/buggy_50_blocks.csv,78,25
Re-entrancy,Re-entrancy,1,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_1.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_1.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_1_blocks.csv,47,18
Re-entrancy,Re-entrancy,2,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_2.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_2.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_2_blocks.csv,57,20
Re-entrancy,Re-entrancy,3,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_3.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_3.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_3_blocks.csv,61,21
Re-entrancy,Re-entrancy,4,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_4.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_4.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_4_blocks.csv,47,18
Re-entrancy,Re-entrancy,5,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_5.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_5.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_5_blocks.csv,91,31
Re-entrancy,Re-entrancy,6,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_6.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_6.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_6_blocks.csv,97,30
Re-entrancy,Re-entrancy,7,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_7.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_7.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_7_blocks.csv,99,31
Re-entrancy,Re-entrancy,8,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_8.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_8.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_8_blocks.csv,91,31
Re-entrancy,Re-entrancy,9,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_9.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_9.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_9_blocks.csv,79,24
Re-entrancy,Re-entrancy,10,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_10.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_10.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_10_blocks.csv,25,8
Re-entrancy,Re-entrancy,11,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_11.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_11.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_11_blocks.csv,87,30
Re-entrancy,Re-entrancy,12,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_12.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_12.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_12_blocks.csv,121,37
Re-entrancy,Re-entrancy,13,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_13.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_13.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_13_blocks.csv,51,17
Re-entrancy,Re-entrancy,14,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_14.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_14.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_14_blocks.csv,83,22
Re-entrancy,Re-entrancy,15,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_15.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_15.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_15_blocks.csv,51,17
Re-entrancy,Re-entrancy,16,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_16.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_16.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_16_blocks.csv,130,42
Re-entrancy,Re-entrancy,17,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/buggy_17.sol,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/buggy_contracts/Re-entrancy/BugLog_17.csv,/Users/sj_ag77/Desktop/proposal/SolidiFI Vs LLM/preprocess/splited/Re-entrancy/buggy_17_blocks.csv,91,30
